SignalName,ActivityFactor
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_stages_2_write_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_write_port_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_executes_0_microOpId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_csr_access_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.CsrAccessPlugin_logic_fsm_interface_uopId[15:0],0.27140737
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_0_port_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_1_port_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_2_port_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_csr_port_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_rfWrites_ports_0_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_rfWrites_ports_1_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_rfWrites_ports_2_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_1_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_2_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_3_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_0_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_1_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_2_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_3_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_asFlow_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_prediction_learns_0_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_loadExecute_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_storeCommit_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_storeCommit_storeId[11:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_storeConditional_uopId[15:0],0.27140737
TOP.VexiiRiscv.WhiteboxerPlugin_logic_storeBroadcast_storeId[11:0],0.27140737
TOP.VexiiRiscv.integer_RegFilePlugin_logic_writeMerges_0_bus_uopId[15:0],0.27140737
TOP.VexiiRiscv.integer_write_0_uopId[15:0],0.27140737
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.io_writes_0_uopId[15:0],0.27140737
TOP.VexiiRiscv.streamArbiter_1.io_inputs_0_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.streamArbiter_1.io_output_payload_uopId[15:0],0.27140737
TOP.LsuCachelessPlugin_logic_bus_cmd_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.LsuCachelessPlugin_logic_bus_cmd_payload_regNext_uopId[15:0],0.27140655
TOP.VexiiRiscv.lane0_IntFormatPlugin_logic_stages_2_wb_payload[31:0],0.26956640
TOP.VexiiRiscv.WhiteboxerPlugin_logic_loadExecute_data[31:0],0.26956640
TOP.VexiiRiscv.CsrAccessPlugin_bus_write_bits[31:0],0.26582941
TOP.VexiiRiscv.CsrRamPlugin_csrMapper_write_data[31:0],0.26582941
TOP.VexiiRiscv.WhiteboxerPlugin_logic_csr_access_payload_write[31:0],0.26582941
TOP.VexiiRiscv.CsrAccessPlugin_logic_fsm_interface_onWriteBits[31:0],0.26582941
TOP.VexiiRiscv.CsrAccessPlugin_logic_fsm_writeLogic_alu_result[31:0],0.26582941
TOP.VexiiRiscv.WhiteboxerPlugin_logic_csr_port_payload_write[31:0],0.26582941
TOP.VexiiRiscv.execute_ctrl2_down_early0_IntAluPlugin_ALU_RESULT_lane0[31:0],0.26422350
TOP.VexiiRiscv.early0_IntAluPlugin_logic_wb_payload[31:0],0.26422350
TOP.VexiiRiscv.early0_IntAluPlugin_logic_alu_result[31:0],0.26422350
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga_io_writes_0_address[4:0],0.26375175
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.io_writes_0_address[4:0],0.26375175
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.conv_writes_0_payload_address[4:0],0.26375175
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.asMem_writes_0_port_payload_address[4:0],0.26375175
TOP.VexiiRiscv.execute_ctrl5_up_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl3_down_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl5_down_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl4_down_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl4_up_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl3_up_RD_PHYS_lane0[4:0],0.26372956
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_write_port_address[4:0],0.26372956
TOP.VexiiRiscv.integer_RegFilePlugin_logic_writeMerges_0_bus_address[4:0],0.26372956
TOP.VexiiRiscv.integer_write_0_address[4:0],0.26372956
TOP.VexiiRiscv.execute_ctrl0_down_RD_PHYS_lane0[4:0],0.26372874
TOP.VexiiRiscv.execute_ctrl2_down_RD_PHYS_lane0[4:0],0.26372874
TOP.VexiiRiscv.execute_ctrl0_up_RD_PHYS_lane0[4:0],0.26372874
TOP.VexiiRiscv.execute_ctrl2_up_RD_PHYS_lane0[4:0],0.26372874
TOP.VexiiRiscv.decode_ctrls_1_down_RD_PHYS_0[4:0],0.26372874
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_hm_RD_PHYS[4:0],0.26372874
TOP.VexiiRiscv.CsrAccessPlugin_logic_fsm_interface_rdPhys[4:0],0.26372874
TOP.VexiiRiscv.execute_ctrl1_down_RD_PHYS_lane0[4:0],0.26372792
TOP.VexiiRiscv.execute_ctrl1_up_RD_PHYS_lane0[4:0],0.26372792
TOP.VexiiRiscv.early0_BarrelShifterPlugin_logic_shift_reversed[31:0],0.26185162
TOP.VexiiRiscv.CsrAccessPlugin_bus_decode_address[11:0],0.25877704
