SignalName,ActivityFactor
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_completionPort_valid,0.01424781
TOP.VexiiRiscv.when_DecoderPlugin_l222,0.01424781
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_flushPort_valid,0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_valid,0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_fire,0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_feeds_0_sending,0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_scheduler_eusFree_1[0:0],0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_scheduler_arbiters_0_doIt,0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_inserter_0_oh[0:0],0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_inserter_0_layerOhUnfiltred[0:0],0.01424781
TOP.VexiiRiscv.DispatchPlugin_logic_inserter_0_layer_0_1,0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_serializeds_0_fire,0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_dispatches_0_fire,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_nobuffer_flushIt,0.01424781
TOP.VexiiRiscv.decode_logic_flushes_0_onLanes_0_doIt,0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_oh[2:0],0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_down_valid,0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_down_payload_exception,0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_down_payload_code[3:0],0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_holdPort,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_flow_payload_pc[31:0],0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_increment,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_state[31:0],0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_pc[31:0],0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_aggregator_target[31:0],0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_holdComb,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_holdReg,0.01424781
